exposure,outcome,estimate,std.error,beta_std,Description,Category,Abbreviation,p.value,p_fdr,n
CD276,X23446.0.0,-0.160346376,0.0115238719895378,-0.081252341,Polyunsaturated fatty acids,Triglycerides&Fatty acid,Polyunsaturated FA,7.14991924345087e-44,1.44705828270438e-43,29431
EGFR,X23446.0.0,1.00911192808442,0.0242975429669577,0.232763360410029,Polyunsaturated fatty acids,Triglycerides&Fatty acid,Polyunsaturated FA,0,0,29794
GDF15,X23446.0.0,-0.170608437,0.00891734698153844,-0.12548219,Polyunsaturated fatty acids,Triglycerides&Fatty acid,Polyunsaturated FA,4.1865966482805e-81,1.19768461077392e-80,29794
GHRL,X23446.0.0,0.155912295954707,0.00488579152237985,0.187276625613814,Polyunsaturated fatty acids,Triglycerides&Fatty acid,Polyunsaturated FA,1.04363815007174e-219,6.09988504955724e-219,29452
LGALS4,X23446.0.0,-0.103285014,0.00750532646836645,-0.081853115,Polyunsaturated fatty acids,Triglycerides&Fatty acid,Polyunsaturated FA,5.90018289963836e-43,1.16288488545198e-42,29431
APOM,X23447.0.0,0.459588251512977,0.0148355897918886,0.178083328318427,Monounsaturated fatty acids,Triglycerides&Fatty acid,Monounsaturated FA,2.21312954207385e-207,1.26092590716477e-206,29521
CD276,X23447.0.0,-0.070793254,0.0119165176657305,-0.035445682,Monounsaturated fatty acids,Triglycerides&Fatty acid,Monounsaturated FA,2.8688145319449e-09,3.80637231440047e-09,29431
EGFR,X23447.0.0,0.386856622340647,0.0257070975207614,0.0880863250751235,Monounsaturated fatty acids,Triglycerides&Fatty acid,Monounsaturated FA,5.4319905756738e-51,1.19187366029347e-50,29794
GDF15,X23447.0.0,0.161354953337926,0.00921647118024533,0.117151287431043,Monounsaturated fatty acids,Triglycerides&Fatty acid,Monounsaturated FA,2.777671320379e-68,6.94930315578215e-68,29794
GHRL,X23447.0.0,0.122318886951881,0.00508598554778012,0.144940865895963,Monounsaturated fatty acids,Triglycerides&Fatty acid,Monounsaturated FA,1.39013774890457e-126,5.23618552087388e-126,29452
LGALS4,X23447.0.0,0.152179191121408,0.00771424673581578,0.119164776603635,Monounsaturated fatty acids,Triglycerides&Fatty acid,Monounsaturated FA,4.5617128274302e-86,1.33889233636263e-85,29431
APOM,X23448.0.0,0.854021801459438,0.0167434683321098,0.285394682238117,Saturated fatty acids,Triglycerides&Fatty acid,Saturated FA,0,0,29521
CD276,X23448.0.0,-0.109566541,0.0138049703087692,-0.047295611,Saturated fatty acids,Triglycerides&Fatty acid,Saturated FA,2.14898327827031e-15,3.1468912800589e-15,29431
EGFR,X23448.0.0,0.753314894851053,0.0295691025397548,0.147967838209612,Saturated fatty acids,Triglycerides&Fatty acid,Saturated FA,1.19178070137967e-141,4.80968640199653e-141,29794
GDF15,X23448.0.0,0.056452541033849,0.0107253885290623,0.0353574207662686,Saturated fatty acids,Triglycerides&Fatty acid,Saturated FA,1.4235683173055e-07,1.81084300024977e-07,29794
GHRL,X23448.0.0,0.169663421668856,0.00586651117392412,0.173414284078104,Saturated fatty acids,Triglycerides&Fatty acid,Saturated FA,2.28048204116276e-181,1.12858892256084e-180,29452
LGALS4,X23448.0.0,0.0757409063440547,0.00898910827488299,0.0511322091756819,Saturated fatty acids,Triglycerides&Fatty acid,Saturated FA,3.74243274428892e-17,5.61364911643338e-17,29431
APOM,X23449.0.0,0.825824985127062,0.0116396431686529,0.380643703657669,Linoleic acid,Triglycerides&Fatty acid,Linoleic Acid,0,0,29521
CD276,X23449.0.0,-0.087983099,0.00995458510699435,-0.052377467,Linoleic acid,Triglycerides&Fatty acid,Linoleic Acid,1.0235305236351e-18,1.59163691519403e-18,29431
EGFR,X23449.0.0,0.676706727377924,0.0211918061266956,0.183366085008602,Linoleic acid,Triglycerides&Fatty acid,Linoleic Acid,4.93479099148734e-220,2.90938112367688e-219,29794
GDF15,X23449.0.0,-0.141021038,0.00769374895558275,-0.121845286,Linoleic acid,Triglycerides&Fatty acid,Linoleic Acid,1.2453439440225e-74,3.39093652227813e-74,29794
GHRL,X23449.0.0,0.118289089020526,0.004230843559751,0.166845047635819,Linoleic acid,Triglycerides&Fatty acid,Linoleic Acid,8.61131973223199e-170,4.08284949542188e-169,29452
LGALS4,X23449.0.0,-0.11416038,0.00645717231784379,-0.106287407,Linoleic acid,Triglycerides&Fatty acid,Linoleic Acid,1.38124848175051e-69,3.48136234433772e-69,29431
APOM,X23450.0.0,0.0625491142857392,0.00142823545863603,0.238478045436006,Docosahexaenoic acid,Triglycerides&Fatty acid,Docosahexaenoic Acid,0,0,29521
CD276,X23450.0.0,-0.016037972,0.00116276771648125,-0.078985222,Docosahexaenoic acid,Triglycerides&Fatty acid,Docosahexaenoic Acid,3.83192944689836e-43,7.61890957477152e-43,29431
EGFR,X23450.0.0,0.0881341033311006,0.00247485655349859,0.197140916827754,Docosahexaenoic acid,Triglycerides&Fatty acid,Docosahexaenoic Acid,4.79348236178632e-272,3.61109004587903e-271,29794
GDF15,X23450.0.0,-0.020800682,0.000899153507602389,-0.148359945,Docosahexaenoic acid,Triglycerides&Fatty acid,Docosahexaenoic Acid,2.31230640062736e-117,8.20808240641545e-117,29794
GHRL,X23450.0.0,0.00912073266121253,0.000500124696683317,0.106168832136669,Docosahexaenoic acid,Triglycerides&Fatty acid,Docosahexaenoic Acid,6.72197578561905e-74,1.8013832342489e-73,29452
LGALS4,X23450.0.0,-0.009988364,0.000757448620257226,-0.07693287,Docosahexaenoic acid,Triglycerides&Fatty acid,Docosahexaenoic Acid,1.35356892340019e-39,2.60715832404923e-39,29431
APOM,X23460.0.0,-0.009644112,0.00142764850986751,-0.039529437,Alanine,Amino acids,Alanine,1.45244282116002e-11,2.00970659744182e-11,29535
CD276,X23460.0.0,-0.000163242,0.00113001670547305,-0.000864752,Alanine,Amino acids,Alanine,0.885138535354954,0.890391583042521,29443
EGFR,X23460.0.0,-0.021459873,0.0024424752036182,-0.051687336,Alanine,Amino acids,Alanine,1.62959872474712e-18,2.52252953282773e-18,29808
GDF15,X23460.0.0,0.00858520885083962,0.000876620247211991,0.0659362008560439,Alanine,Amino acids,Alanine,1.29855727571326e-22,2.09126326112492e-22,29808
GHRL,X23460.0.0,-0.007252587,0.000483143645015511,-0.091226199,Alanine,Amino acids,Alanine,9.55631823825422e-51,2.08333883136217e-50,29466
LGALS4,X23460.0.0,0.0111810846505224,0.000732955609847509,0.0926312189709579,Alanine,Amino acids,Alanine,2.42824565784107e-52,5.36270539418973e-52,29443
APOM,X23461.0.0,0.0095354953756659,0.00154777520969102,0.0362420557617302,Glutamine,Amino acids,Glutamine,7.33276515166762e-10,9.84478172837752e-10,29449
CD276,X23461.0.0,0.00361125641111115,0.0012261401926314,0.0177193498368128,Glutamine,Amino acids,Glutamine,0.00322975341170972,0.00375604256113069,29364
EGFR,X23461.0.0,-0.042384539,0.00264296061655026,-0.094549548,Glutamine,Amino acids,Glutamine,1.23632897212721e-57,2.83186163210219e-57,29722
GDF15,X23461.0.0,-0.013124764,0.00095240302418852,-0.093159698,Glutamine,Amino acids,Glutamine,4.52207227214463e-43,8.96480994302356e-43,29722
GHRL,X23461.0.0,0.00226835071762668,0.000525702476029667,0.0264532810816123,Glutamine,Amino acids,Glutamine,1.60201160939223e-05,1.97484340212351e-05,29382
LGALS4,X23461.0.0,-0.009418853,0.000797801948717807,-0.072173258,Glutamine,Amino acids,Glutamine,4.29686811961597e-32,7.7275240984075e-32,29364
APOM,X23462.0.0,0.00472221069093122,0.00113427290742347,0.0231572639136736,Glycine,Amino acids,Glycine,3.14702536354845e-05,3.85837829382613e-05,29510
CD276,X23462.0.0,0.0094363250708512,0.000897511484065004,0.0597053986253612,Glycine,Amino acids,Glycine,8.2868610267388e-26,1.40112014367304e-25,29420
EGFR,X23462.0.0,-0.015915402,0.00194462860102622,-0.045759636,Glycine,Amino acids,Glycine,2.84746261010373e-16,4.2244631283377e-16,29783
GDF15,X23462.0.0,-0.005260208,0.000698745325779748,-0.048197522,Glycine,Amino acids,Glycine,5.29509684383934e-14,7.60609250026075e-14,29783
GHRL,X23462.0.0,0.00348582570460912,0.000386807436123797,0.052163226636972,Glycine,Amino acids,Glycine,2.14695859081654e-19,3.34629407947957e-19,29441
LGALS4,X23462.0.0,-0.002466936,0.000585426173593965,-0.024411994,Glycine,Amino acids,Glycine,2.51730602979828e-05,3.09751994229262e-05,29420
APOM,X23463.0.0,-0.000168772,0.000207512576508048,-0.004766546,Histidine,Amino acids,Histidine,0.416048191402142,0.428043511032856,29507
CD276,X23463.0.0,-0.000341289,0.000164309755946589,-0.012443728,Histidine,Amino acids,Histidine,0.0378004936236215,0.0414034485893625,29416
EGFR,X23463.0.0,-0.000430632,0.000352408300035815,-0.007204553,Histidine,Amino acids,Histidine,0.221729443509964,0.231637230662181,29780
GDF15,X23463.0.0,-0.000749168,0.000126437880101232,-0.039965512,Histidine,Amino acids,Histidine,3.15373456237341e-09,4.15998450056259e-09,29780
GHRL,X23463.0.0,-0.000213644,7.05966556382207e-05,-0.01847555,Histidine,Amino acids,Histidine,0.00247817074586418,0.00291195799947299,29438
LGALS4,X23463.0.0,-0.000398294,0.000107005413762957,-0.022709084,Histidine,Amino acids,Histidine,0.000197876434298399,0.000238295244146207,29416
APOM,X23464.0.0,-0.027836742,0.00154392907283674,-0.102696246,Total concentration of branched-chain amino acids (leucine + isoleucine + valine),Amino acids,Total Branched-Chain Amino Acids,2.78250633453095e-72,7.31216780934877e-72,29524
CD276,X23464.0.0,-0.00709212,0.00122820270479157,-0.03379415,Total concentration of branched-chain amino acids (leucine + isoleucine + valine),Amino acids,Total Branched-Chain Amino Acids,7.80098681549771e-09,1.0190884510419e-08,29432
EGFR,X23464.0.0,0.00791875580534685,0.00266080144814927,0.0171491466686974,Total concentration of branched-chain amino acids (leucine + isoleucine + valine),Amino acids,Total Branched-Chain Amino Acids,0.00292194177081843,0.00341564917347396,29797
GDF15,X23464.0.0,0.00614821090734015,0.000955212482837265,0.0424416794569321,Total concentration of branched-chain amino acids (leucine + isoleucine + valine),Amino acids,Total Branched-Chain Amino Acids,1.24131667919617e-10,1.7002276939293e-10,29797
GHRL,X23464.0.0,-0.009176467,0.00052697822618723,-0.103397131,Total concentration of branched-chain amino acids (leucine + isoleucine + valine),Amino acids,Total Branched-Chain Amino Acids,1.42688128527497e-67,3.54368319200157e-67,29455
LGALS4,X23464.0.0,0.00724906142826645,0.000799242566253694,0.0540150591414192,Total concentration of branched-chain amino acids (leucine + isoleucine + valine),Amino acids,Total Branched-Chain Amino Acids,1.26330773916478e-19,1.97811234908481e-19,29432
APOM,X23465.0.0,-0.005470665,0.000327331411712946,-0.096297693,Isoleucine,Amino acids,Isoleucine,2.04558916699621e-62,4.8834839972656e-62,29539
CD276,X23465.0.0,-0.000599868,0.000260299968995634,-0.013638611,Isoleucine,Amino acids,Isoleucine,0.0212001532388701,0.0236021410442593,29447
EGFR,X23465.0.0,-0.002165082,0.000563481750994746,-0.022377675,Isoleucine,Amino acids,Isoleucine,0.000122125352096721,0.00014812341452876,29812
GDF15,X23465.0.0,0.00227458458954913,0.000201924321151602,0.0749638608367174,Isoleucine,Amino acids,Isoleucine,2.25197372475367e-29,3.94531830848317e-29,29812
GHRL,X23465.0.0,-0.001731878,0.000111751137927553,-0.093118827,Isoleucine,Amino acids,Isoleucine,5.88343364085545e-54,1.31649109191419e-53,29470
LGALS4,X23465.0.0,0.00118788684207562,0.000169376554921102,0.0422383757404995,Isoleucine,Amino acids,Isoleucine,2.37807976223855e-12,3.32440840989224e-12,29447
APOM,X23466.0.0,-0.008499271,0.000509890266064958,-0.094333605,Leucine,Amino acids,Leucine,4.2522731479566e-62,1.00105597024812e-61,29540
CD276,X23466.0.0,-0.002763883,0.000404913902165041,-0.039651175,Leucine,Amino acids,Leucine,8.91004449625215e-12,1.23538040254784e-11,29448
EGFR,X23466.0.0,0.0015490003414796,0.000877547940302023,0.0100991045866995,Leucine,Amino acids,Leucine,0.0775494620532862,0.0834579924954413,29813
GDF15,X23466.0.0,0.00145167302240838,0.000314970873799442,0.0301787529640239,Leucine,Amino acids,Leucine,4.06460183630102e-06,5.06580890627223e-06,29813
GHRL,X23466.0.0,-0.002746326,0.00017399740746558,-0.093128278,Leucine,Amino acids,Leucine,6.8318907482633e-56,1.54400730910751e-55,29471
LGALS4,X23466.0.0,0.00206334572445275,0.000263605225421008,0.0462943019438736,Leucine,Amino acids,Leucine,5.14689283710853e-15,7.50450181410663e-15,29448
APOM,X23467.0.0,-0.013863484,0.000769970427041505,-0.102888956,Valine,Amino acids,Valine,4.31858870382866e-72,1.12184028398308e-71,29524
CD276,X23467.0.0,-0.00371211,0.000612786911956833,-0.035566328,Valine,Amino acids,Valine,1.39713386819085e-09,1.86101525075323e-09,29432
EGFR,X23467.0.0,0.00850838735135495,0.00132676874721263,0.0370496251406565,Valine,Amino acids,Valine,1.44952073763367e-10,1.98140133087828e-10,29797
GDF15,X23467.0.0,0.00240869155252662,0.000476687679868626,0.0334330497339775,Valine,Amino acids,Valine,4.37550467191729e-07,5.51411183561324e-07,29797
GHRL,X23467.0.0,-0.004698048,0.000262732979701241,-0.106486571,Valine,Amino acids,Valine,3.91897578941614e-71,1.00266625857515e-70,29455
LGALS4,X23467.0.0,0.0039949590571274,0.000398665877035118,0.0598546810527951,Valine,Amino acids,Valine,1.34735012219603e-23,2.20652991026306e-23,29432
APOM,X23468.0.0,-0.005164852,0.000211606666513523,-0.142206956,Phenylalanine,Amino acids,Phenylalanine,2.77962647683642e-130,1.05875660185118e-129,29533
CD276,X23468.0.0,0.000782547117891175,0.000169252711920666,0.0278050125058085,Phenylalanine,Amino acids,Phenylalanine,3.78844730583767e-06,4.73032647027245e-06,29442
EGFR,X23468.0.0,-0.004496936,0.00036464609113536,-0.072819914,Phenylalanine,Amino acids,Phenylalanine,7.38140733852691e-35,1.36364963910661e-34,29806
GDF15,X23468.0.0,0.00241295455273683,0.000130523313390182,0.124572171189598,Phenylalanine,Amino acids,Phenylalanine,7.02667018111808e-76,1.93661885479596e-75,29806
GHRL,X23468.0.0,-0.00127727,7.23723545339582e-05,-0.107651079,Phenylalanine,Amino acids,Phenylalanine,2.37804611191223e-69,5.97153801435738e-69,29464
LGALS4,X23468.0.0,0.000831038594106915,0.000110173358452081,0.0461705833470024,Phenylalanine,Amino acids,Phenylalanine,4.72505245626705e-14,6.80166786698314e-14,29442
APOM,X23469.0.0,-0.00451376,0.000264368655157018,-0.099442065,Tyrosine,Amino acids,Tyrosine,4.78861640619701e-65,1.17633403021796e-64,29511
CD276,X23469.0.0,-0.000107905,0.000210593064549189,-0.003065966,Tyrosine,Amino acids,Tyrosine,0.608385975937843,0.615650286098295,29420
EGFR,X23469.0.0,-0.002650373,0.00045495193484548,-0.034274753,Tyrosine,Amino acids,Tyrosine,5.74897119632735e-09,7.55388075796501e-09,29784
GDF15,X23469.0.0,0.000157107101528944,0.000163413066106769,0.00647896321740467,Tyrosine,Amino acids,Tyrosine,0.336353426403706,0.348696671409347,29784
GHRL,X23469.0.0,-0.002010482,8.97896211118954e-05,-0.135398006,Tyrosine,Amino acids,Tyrosine,4.01801445330926e-110,1.39703271761214e-109,29442
LGALS4,X23469.0.0,0.000758553829246527,0.000137110710594547,0.0336990093129931,Tyrosine,Amino acids,Tyrosine,3.18535280555393e-08,4.09804402687963e-08,29420
APOM,X23470.0.0,-0.226423667,0.022197191966542,-0.059465964,Glucose,Glycolysis related metabolites,Glucose,2.16456342748632e-24,3.58820049837586e-24,29490
CD276,X23470.0.0,0.295415741922982,0.0175602592664531,0.0999540355960036,Glucose,Glycolysis related metabolites,Glucose,3.2777536672091e-63,7.8527101991794e-63,29400
EGFR,X23470.0.0,0.261999353338705,0.0380963046097803,0.040376600505637,Glucose,Glycolysis related metabolites,Glucose,6.22081997223326e-12,8.64286053519293e-12,29762
GDF15,X23470.0.0,0.414894570300677,0.0134704796936512,0.203923414178248,Glucose,Glycolysis related metabolites,Glucose,4.37434885808752e-205,2.45108142626722e-204,29762
GHRL,X23470.0.0,-0.092300108,0.00753414849878829,-0.074350511,Glucose,Glycolysis related metabolites,Glucose,2.0162369119576e-34,3.70463042359689e-34,29421
LGALS4,X23470.0.0,0.291896418072519,0.0113638802842522,0.154463363520852,Glucose,Glycolysis related metabolites,Glucose,6.4800732863317e-144,2.64668053501981e-143,29400
APOM,X23471.0.0,0.0389298857151038,0.0200120025441388,0.0114388013815003,Lactate,Glycolysis related metabolites,Lactate,0.0517451571475351,0.0561331464736461,29491
CD276,X23471.0.0,-0.109149975,0.0158540770856109,-0.041349918,Lactate,Glycolysis related metabolites,Lactate,5.90894531943156e-12,8.2264166870115e-12,29400
EGFR,X23471.0.0,0.284324100532173,0.0342865645942376,0.0490031697444782,Lactate,Glycolysis related metabolites,Lactate,1.15439935453269e-16,1.72397084223164e-16,29763
GDF15,X23471.0.0,0.0856067638529623,0.0123091787612254,0.0470609679621053,Lactate,Glycolysis related metabolites,Lactate,3.60593073005117e-12,5.03049595673805e-12,29763
GHRL,X23471.0.0,-0.056156776,0.00681225701020681,-0.050440569,Lactate,Glycolysis related metabolites,Lactate,1.74150891760233e-16,2.58934878538241e-16,29422
LGALS4,X23471.0.0,0.142836949756091,0.0102985748625843,0.0846358514354601,Lactate,Glycolysis related metabolites,Lactate,1.32958633736597e-43,2.65917267473194e-43,29400
APOM,X23472.0.0,0.00126925559827943,0.000580589776773914,0.0128857318385764,Pyruvate,Glycolysis related metabolites,Pyruvate,0.0288125828558798,0.0317125506108547,29448
CD276,X23472.0.0,-0.000816206,0.000460720648628553,-0.010674592,Pyruvate,Glycolysis related metabolites,Pyruvate,0.0764737733911871,0.0824311897602939,29363
EGFR,X23472.0.0,0.00241468942011377,0.00099339438605536,0.0144133384904604,Pyruvate,Glycolysis related metabolites,Pyruvate,0.015073656660129,0.0169204291648468,29721
GDF15,X23472.0.0,0.0030853416330261,0.000357282885350114,0.0585847941224769,Pyruvate,Glycolysis related metabolites,Pyruvate,6.13087013433253e-18,9.36200439431859e-18,29721
GHRL,X23472.0.0,-0.00104305,0.000197915757671935,-0.032349646,Pyruvate,Glycolysis related metabolites,Pyruvate,1.37260210277091e-07,1.74929365729075e-07,29381
LGALS4,X23472.0.0,0.0032201726990622,0.000299792634957904,0.0657857434837237,Pyruvate,Glycolysis related metabolites,Pyruvate,7.30426514209155e-27,1.24429441365278e-26,29363
APOM,X23473.0.0,-0.000626097,0.000242342172946957,-0.014901038,Citrate,Glycolysis related metabolites,Citrate,0.00978435495361418,0.0110747790626885,29540
CD276,X23473.0.0,0.00273993752944204,0.000191343816353712,0.0841804790115211,Citrate,Glycolysis related metabolites,Citrate,2.36950856263528e-46,4.89794757764244e-46,29448
EGFR,X23473.0.0,0.000218966708432012,0.000415026870563385,0.00306172403321004,Citrate,Glycolysis related metabolites,Citrate,0.597783381290868,0.608554253025839,29813
GDF15,X23473.0.0,0.00247865177213466,0.000148326038429769,0.110506146028866,Citrate,Glycolysis related metabolites,Citrate,2.10508601497257e-62,5.00788883561896e-62,29813
GHRL,X23473.0.0,-0.000843381,8.24049248124101e-05,-0.061395019,Citrate,Glycolysis related metabolites,Citrate,1.52565048860342e-24,2.54150130533936e-24,29471
LGALS4,X23473.0.0,0.000931951995840911,0.000124909579571036,0.0447821872937186,Citrate,Glycolysis related metabolites,Citrate,8.82316985852245e-14,1.25939140296384e-13,29448
APOM,X23474.0.0,0.0223981516693977,0.00116571659684268,0.113353811800158,3-Hydroxybutyrate,Glycolysis related metabolites,3-Hydroxybutyrate,9.09768089057373e-82,2.613655781275e-81,29071
CD276,X23474.0.0,0.00126813741310568,0.000929504330732126,0.00827815238588964,3-Hydroxybutyrate,Glycolysis related metabolites,3-Hydroxybutyrate,0.172478818258137,0.18158484282456,28974
EGFR,X23474.0.0,0.0114450792094972,0.00200923469717092,0.0339870253871076,3-Hydroxybutyrate,Glycolysis related metabolites,3-Hydroxybutyrate,1.23652079006908e-08,1.60913837939892e-08,29335
GDF15,X23474.0.0,0.0108143795594263,0.000720645995943559,0.102273421786747,3-Hydroxybutyrate,Glycolysis related metabolites,3-Hydroxybutyrate,1.02776914509032e-50,2.23342141144627e-50,29335
GHRL,X23474.0.0,0.00565797473895436,0.000399309323555928,0.0872831668149482,3-Hydroxybutyrate,Glycolysis related metabolites,3-Hydroxybutyrate,2.01060279188782e-45,4.11839484259801e-45,28997
LGALS4,X23474.0.0,0.00270185356935396,0.000606671540044906,0.0275140674361143,3-Hydroxybutyrate,Glycolysis related metabolites,3-Hydroxybutyrate,8.47705281516194e-06,1.04927086364059e-05,28974
APOM,X23475.0.0,0.00408418365616714,0.000530052777939627,0.0453774761927975,Acetate,Glycolysis related metabolites,Acetate,1.34690398297288e-14,1.95546231360945e-14,29519
CD276,X23475.0.0,0.00143107455444974,0.000421886468222144,0.0204369806490469,Acetate,Glycolysis related metabolites,Acetate,0.00069454451815183,0.000826142426854282,29427
EGFR,X23475.0.0,-0.001422749,0.000899608188571256,-0.00937922,Acetate,Glycolysis related metabolites,Acetate,0.113769626209762,0.120713312316461,29792
GDF15,X23475.0.0,0.00240625188607405,0.000322732300181907,0.0505739538253763,Acetate,Glycolysis related metabolites,Acetate,9.17035995783178e-14,1.30619833012814e-13,29792
GHRL,X23475.0.0,-0.000657344,0.000181436526712621,-0.022246891,Acetate,Glycolysis related metabolites,Acetate,0.000291701832988421,0.000348807482832715,29450
LGALS4,X23475.0.0,0.000765680804852787,0.000274724701004449,0.0171027047582621,Acetate,Glycolysis related metabolites,Acetate,0.00532188272571282,0.00614691054179436,29427
APOM,X23476.0.0,0.0030582946145657,0.000221379892596891,0.0809362993432286,Acetoacetate,Glycolysis related metabolites,Acetoacetate,2.83540161709704e-43,5.65412440115233e-43,29543
CD276,X23476.0.0,0.000430925840809496,0.000176027279518138,0.0147078004014373,Acetoacetate,Glycolysis related metabolites,Acetoacetate,0.0143684624391567,0.0161555846330817,29451
EGFR,X23476.0.0,0.00121214555234414,0.000380823314988493,0.0188170470530188,Acetoacetate,Glycolysis related metabolites,Acetoacetate,0.00145927349044115,0.00172367147477195,29816
GDF15,X23476.0.0,0.00266370049173196,0.000135883955059961,0.131846488306234,Acetoacetate,Glycolysis related metabolites,Acetoacetate,5.03962523584833e-85,1.46019910679708e-84,29816
GHRL,X23476.0.0,0.00113846090276475,7.56659478642528e-05,0.091786873596678,Acetoacetate,Glycolysis related metabolites,Acetoacetate,5.68719050963394e-51,1.24384360178446e-50,29474
LGALS4,X23476.0.0,0.000810833856118797,0.000114545279148014,0.0432797592405247,Acetoacetate,Glycolysis related metabolites,Acetoacetate,1.48753736156795e-12,2.08378167591543e-12,29451
APOM,X23477.0.0,0.00131255895529,0.00010127900081806,0.0760293296410926,Acetone,Glycolysis related metabolites,Acetone,2.63023549212667e-38,4.92624216481183e-38,29543
CD276,X23477.0.0,0.000161033973722713,8.05731411266163e-05,0.0120200313714735,Acetone,Glycolysis related metabolites,Acetone,0.0456601754114478,0.0499316111757445,29451
EGFR,X23477.0.0,0.000480529838046875,0.000174053209613756,0.0163387938622012,Acetone,Glycolysis related metabolites,Acetone,0.00576914738463635,0.00664088612357121,29816
GDF15,X23477.0.0,0.000894286942438654,6.22866249578737e-05,0.0969533904079013,Acetone,Glycolysis related metabolites,Acetone,1.36645080712947e-46,2.83319158175468e-46,29816
GHRL,X23477.0.0,0.000454795067648309,3.45882364418422e-05,0.0803700033252213,Acetone,Glycolysis related metabolites,Acetone,2.23196671840651e-39,4.25076807606633e-39,29474
LGALS4,X23477.0.0,0.000191857286967876,5.24618628347348e-05,0.0223961909868249,Acetone,Glycolysis related metabolites,Acetone,0.000255548528293027,0.000306116434951718,29451
APOM,X23478.0.0,-0.003407535,0.000264280873776212,-0.068404092,Creatinine,Renal/Liver function,Creatinine,6.22993646608038e-38,1.15723203397329e-37,28802
CD276,X23478.0.0,0.00490563513942524,0.000206251972750217,0.127841226538302,Creatinine,Renal/Liver function,Creatinine,7.63183799040875e-124,2.84306931730612e-123,28718
EGFR,X23478.0.0,-0.00168523,0.000453144852292857,-0.0199026,Creatinine,Renal/Liver function,Creatinine,0.000200417155850301,0.000240500587020361,29065
GDF15,X23478.0.0,0.00791788560006531,0.000156765649240979,0.297454177199774,Creatinine,Renal/Liver function,Creatinine,0,0,29065
GHRL,X23478.0.0,0.00130537525061079,9.0140277325449e-05,0.0800284132737657,Creatinine,Renal/Liver function,Creatinine,2.32747523958001e-47,4.85547142287768e-47,28733
LGALS4,X23478.0.0,0.00458641754007388,0.000132818952510734,0.187064390901726,Creatinine,Renal/Liver function,Creatinine,4.80282619144146e-256,3.35702696680135e-255,28718
APOM,X23479.0.0,1.86174905994846,0.0603951512888719,0.176825207134252,Albumin,Renal/Liver function,Albumin,2.13331327747726e-205,1.20532200177465e-204,29541
CD276,X23479.0.0,-0.366126041,0.0486781646310911,-0.044764461,Albumin,Renal/Liver function,Albumin,5.57553511292926e-14,7.99199324855399e-14,29449
EGFR,X23479.0.0,3.84119810443647,0.102813133654642,0.214078134045928,Albumin,Renal/Liver function,Albumin,1.33972373399808e-298,1.19517459427723e-297,29814
GDF15,X23479.0.0,-1.034059543,0.0372945593693275,-0.183746319,Albumin,Renal/Liver function,Albumin,4.41890787778749e-167,2.01075136989256e-166,29814
GHRL,X23479.0.0,0.362955649255015,0.0207986859043403,0.10538775214851,Albumin,Renal/Liver function,Albumin,7.44906549948721e-68,1.85678912082806e-67,29472
LGALS4,X23479.0.0,-0.299271842,0.0316848095325159,-0.057220119,Albumin,Renal/Liver function,Albumin,3.7979597633891e-21,6.01639420462105e-21,29449
APOM,X30000.0.0,-0.569320541,0.0289456322859356,-0.088198441,White.blood.cell..leukocyte..count,Inflammation,WBC,8.48313336846269e-86,2.46848258532949e-85,49935
CD276,X30000.0.0,0.037909687836971,0.0230643394829693,0.00755186354434318,White.blood.cell..leukocyte..count,Inflammation,WBC,0.100254965759035,0.107212723635056,49792
EGFR,X30000.0.0,-0.712262373,0.0496170605336208,-0.064844195,White.blood.cell..leukocyte..count,Inflammation,WBC,1.22230882130136e-46,2.54210239522185e-46,50434
GDF15,X30000.0.0,0.846318856287324,0.0177570722005185,0.241844651881923,White.blood.cell..leukocyte..count,Inflammation,WBC,0,0,50434
GHRL,X30000.0.0,-0.037913411,0.00983469195336196,-0.018072502,White.blood.cell..leukocyte..count,Inflammation,WBC,0.000115842609223854,0.000140754998304253,49827
LGALS4,X30000.0.0,0.327882476511277,0.0149564029252583,0.101931941135587,White.blood.cell..leukocyte..count,Inflammation,WBC,5.04482193332608e-106,1.69326201524509e-105,49792
APOM,X30080.0.0,17.0692539520419,0.815808828520418,0.0916673577207203,Platelet.count,Inflammation,Platelet.count,8.61376463860987e-97,2.7547794457441e-96,49936
CD276,X30080.0.0,-8.86990627,0.649475918525918,-0.061248295,Platelet.count,Inflammation,Platelet.count,2.18689177038338e-42,4.27294703262228e-42,49792
EGFR,X30080.0.0,1.68369467987661,1.40494493921152,0.00530254334522433,Platelet.count,Inflammation,Platelet.count,0.23076457220577,0.240705199931557,50435
GDF15,X30080.0.0,2.09060994353638,0.512897164599144,0.0206662801347272,Platelet.count,Inflammation,Platelet.count,4.58714455257907e-05,5.59367627095074e-05,50435
GHRL,X30080.0.0,0.467390160095537,0.27951875461764,0.0076634537450917,Platelet.count,Inflammation,Platelet.count,0.0945060606109557,0.101384666288335,49828
LGALS4,X30080.0.0,3.98582522834919,0.423597214959372,0.0429518014665606,Platelet.count,Inflammation,Platelet.count,5.19128308260782e-21,8.20440543125432e-21,49792
APOM,X30090.0.0,0.00943756437123654,0.000662599129650842,0.0616104983890743,Platelet.crit,Inflammation,Platelet.crit,6.07828046712868e-46,1.25260612666056e-45,49936
